Sample	Frequency	Magnitude	Phase	Marker	Timestamp
0	10000	1088.543457	-0.106817	 	17:32:45
0.1	10909.09	1088.536133	-0.119548	 	17:32:45
0.2	11818.18	1088.573853	-0.127954	 	17:32:45
0.3	12727.27	1088.542847	-0.14581	 	17:32:45
0.4	13636.36	1088.538086	-0.15467	 	17:32:45
0.5	14545.45	1088.515991	-0.171968	 	17:32:45
0.6	15454.55	1088.533569	-0.177894	 	17:32:45
0.7	16363.64	1088.56604	-0.193632	 	17:32:45
0.8	17272.73	1088.642456	-0.203733	 	17:32:45
0.9	18181.82	1088.687134	-0.218199	 	17:32:45
1	19090.91	1088.662354	-0.229973	 	17:32:45
1.1	20000	1088.81897	-0.239413	 	17:32:45
1.2	20909.09	1088.815308	-0.247659	 	17:32:46
1.3	21818.18	1089.117798	-0.265467	 	17:32:46
1.4	22727.27	1089.369385	-0.292556	 	17:32:46
1.5	23636.36	1089.843384	-0.307659	 	17:32:46
1.6	24545.46	1090.400757	-0.334371	 	17:32:46
1.7	25454.54	1090.385132	-0.352092	 	17:32:46
1.8	26363.64	1090.387329	-0.354678	 	17:32:46
1.9	27272.73	1090.229004	-0.374298	 	17:32:46
2	28181.82	1090.259766	-0.389196	 	17:32:46
2.1	29090.91	1090.457275	-0.39874	 	17:32:46
2.2	30000	1090.385864	-0.414973	 	17:32:46
2.3	30909.09	1090.422119	-0.425718	 	17:32:46
2.4	31818.18	1090.372681	-0.435977	 	17:32:47
2.5	32727.27	1090.460327	-0.453683	 	17:32:47
2.6	33636.36	1090.34021	-0.465184	 	17:32:47
2.7	34545.45	1090.303223	-0.478616	 	17:32:47
2.8	35454.55	1090.265015	-0.488393	 	17:32:47
2.9	36363.64	1090.322754	-0.501622	 	17:32:47
3	37272.73	1090.408203	-0.510654	 	17:32:47
3.1	38181.82	1090.29895	-0.532711	 	17:32:47
3.2	39090.91	1090.463501	-0.538078	 	17:32:47
3.3	40000	1090.335571	-0.546441	 	17:32:47
3.4	40909.09	1090.328369	-0.55961	 	17:32:47
3.5	41818.18	1090.508789	-0.564388	 	17:32:47
3.6	42727.27	1090.37854	-0.586186	 	17:32:48
3.7	43636.36	1090.506958	-0.600499	 	17:32:48
3.8	44545.45	1090.498169	-0.619761	 	17:32:48
3.9	45454.55	1090.466187	-0.631724	 	17:32:48
4	46363.64	1090.515503	-0.627851	 	17:32:48
4.1	47272.73	1090.568848	-0.654205	 	17:32:48
4.2	48181.82	1090.639526	-0.663876	 	17:32:48
4.3	49090.91	1090.519897	-0.6747	 	17:32:48
4.4	50000	1090.557007	-0.684342	 	17:32:48
4.5	50909.09	1090.484497	-0.693239	 	17:32:48
4.6	51818.18	1090.486694	-0.708214	 	17:32:48
4.7	52727.27	1090.506104	-0.723312	 	17:32:48
4.8	53636.36	1090.566895	-0.736066	 	17:32:49
4.9	54545.45	1090.477539	-0.74694	 	17:32:49
5	55454.55	1090.631592	-0.764166	 	17:32:49
5.1	56363.64	1090.707764	-0.771036	 	17:32:49
5.2	57272.73	1090.605347	-0.787931	 	17:32:49
5.3	58181.82	1090.583618	-0.800954	 	17:32:49
5.4	59090.91	1090.665527	-0.813295	 	17:32:49
5.5	60000	1090.741455	-0.826538	 	17:32:49
5.6	60909.09	1090.630737	-0.840177	 	17:32:49
5.7	61818.18	1090.77478	-0.845117	 	17:32:49
5.8	62727.27	1090.692261	-0.858944	 	17:32:49
5.9	63636.36	1090.816284	-0.871754	 	17:32:49
5.99999999999999	64545.45	1090.775879	-0.883898	 	17:32:50
6.09999999999999	65454.55	1090.848633	-0.895146	 	17:32:50
6.19999999999999	66363.63	1090.800781	-0.908957	 	17:32:50
6.29999999999999	67272.73	1090.867188	-0.930554	 	17:32:50
6.39999999999999	68181.82	1090.740845	-0.93125	 	17:32:50
6.49999999999999	69090.91	1090.817993	-0.94812	 	17:32:50
6.59999999999999	70000	1090.865356	-0.95371	 	17:32:50
6.69999999999999	70909.09	1090.803589	-0.968568	 	17:32:50
6.79999999999999	71818.18	1091.006958	-0.98949	 	17:32:50
6.89999999999999	72727.27	1090.881958	-1.000243	 	17:32:50
6.99999999999999	73636.37	1090.964355	-1.007378	 	17:32:50
7.09999999999999	74545.45	1091.047974	-1.020532	 	17:32:50
7.19999999999999	75454.55	1090.756714	-1.038333	 	17:32:50
7.29999999999999	76363.63	1091.094238	-1.045178	 	17:32:51
7.39999999999999	77272.73	1091.103149	-1.05802	 	17:32:51
7.49999999999999	78181.82	1090.984497	-1.080488	 	17:32:51
7.59999999999999	79090.91	1090.974365	-1.091375	 	17:32:51
7.69999999999999	80000	1091.060913	-1.09969	 	17:32:51
7.79999999999999	80909.09	1091.151123	-1.125941	 	17:32:51
7.89999999999999	81818.18	1091.022339	-1.127518	 	17:32:51
7.99999999999999	82727.27	1091.178223	-1.14264	 	17:32:51
8.09999999999999	83636.37	1091.171631	-1.158513	 	17:32:51
8.19999999999999	84545.45	1091.442627	-1.163953	 	17:32:51
8.29999999999999	85454.55	1091.247559	-1.181077	 	17:32:51
8.39999999999999	86363.63	1091.349243	-1.203462	 	17:32:51
8.49999999999999	87272.73	1091.253174	-1.193198	 	17:32:52
8.59999999999999	88181.82	1091.36377	-1.214771	 	17:32:52
8.69999999999999	89090.91	1091.24353	-1.229259	 	17:32:52
8.79999999999998	90000	1091.369385	-1.23203	 	17:32:52
8.89999999999998	90909.09	1091.35376	-1.250217	 	17:32:52
8.99999999999998	91818.18	1091.523193	-1.267042	 	17:32:52
9.09999999999998	92727.27	1091.592285	-1.268707	 	17:32:52
9.19999999999998	93636.37	1091.505615	-1.277386	 	17:32:52
9.29999999999998	94545.45	1091.278198	-1.297505	 	17:32:52
9.39999999999998	95454.55	1091.35144	-1.318947	 	17:32:52
9.49999999999998	96363.63	1091.573975	-1.329777	 	17:32:52
9.59999999999998	97272.73	1091.448608	-1.339361	 	17:32:52
9.69999999999998	98181.82	1091.529785	-1.357644	 	17:32:53
9.79999999999998	99090.91	1091.445923	-1.369042	 	17:32:53
9.89999999999998	100000	1091.507813	-1.351645	 	17:32:53
