Sample	Frequency	Magnitude	Phase	Marker	Timestamp
0	1000	97.47169	-19.29891	 	20:33:36
1	1047.616	98.54718	-17.38331	 	20:33:37
2	1097.499	97.36003	-16.90464	 	20:33:37
3	1149.757	96.03589	-16.8018	 	20:33:37
4	1204.504	94.69817	-16.72881	 	20:33:37
5	1261.857	93.31267	-16.54609	 	20:33:37
6	1321.941	92.47352	-16.32193	 	20:33:37
7	1384.886	91.55804	-16.1772	 	20:33:38
8	1450.829	90.55418	-15.858	 	20:33:38
9	1519.911	89.80525	-15.46861	 	20:33:38
10	1592.283	89.18555	-15.1668	 	20:33:38
11	1668.101	88.48061	-14.7996	 	20:33:38
12	1747.528	87.92217	-14.52412	 	20:33:38
13	1830.738	87.27211	-14.17692	 	20:33:38
14	1917.91	86.75875	-13.7001	 	20:33:39
15	2009.233	86.15679	-13.38537	 	20:33:39
16	2104.904	85.87585	-13.05805	 	20:33:39
17	2205.131	85.30514	-12.75331	 	20:33:39
18	2310.13	85.02617	-12.37835	 	20:33:39
19	2420.128	84.47332	-12.24026	 	20:33:39
20	2535.365	84.05103	-11.73921	 	20:33:40
21	2656.088	83.71234	-11.44002	 	20:33:40
22	2782.559	83.32276	-11.25466	 	20:33:40
23	2915.053	83.0313	-10.88783	 	20:33:40
24	3053.855	82.6788	-10.60344	 	20:33:40
25	3199.267	83.07618	-10.37075	 	20:33:40
26	3351.603	79.51891	-10.33931	 	20:33:41
27	3511.192	77.56586	-10.22194	 	20:33:41
28	3678.38	75.9977	-10.03253	 	20:33:41
29	3853.529	75.22635	-9.861512	 	20:33:41
30	4037.017	74.68491	-9.556994	 	20:33:41
31	4229.243	74.50033	-9.324136	 	20:33:41
32	4430.622	74.73316	-9.054806	 	20:33:42
33	4641.589	77.7186	-8.605699	 	20:33:42
34	4862.602	79.9886	-8.220242	 	20:33:42
35	5094.138	79.7422	-8.029195	 	20:33:42
36	5336.699	79.5499	-7.805774	 	20:33:42
37	5590.81	79.39791	-7.641124	 	20:33:42
38	5857.021	79.17985	-7.45611	 	20:33:43
39	6135.907	78.97685	-7.367837	 	20:33:43
40	6428.073	78.79919	-7.1838	 	20:33:43
41	6734.151	78.57565	-7.042392	 	20:33:43
42	7054.802	78.27621	-6.861323	 	20:33:43
43	7390.722	78.07436	-6.727945	 	20:33:43
44	7742.637	77.90793	-6.616888	 	20:33:44
45	8111.308	77.62869	-6.428738	 	20:33:44
46	8497.534	77.42205	-6.25871	 	20:33:44
47	8902.15	77.12617	-6.150002	 	20:33:44
48	9326.033	76.8868	-6.034462	 	20:33:44
49	9770.1	76.63337	-5.964463	 	20:33:44
50	10235.31	76.46408	-5.816127	 	20:33:44
51	10722.67	76.17641	-5.719124	 	20:33:45
52	11233.24	75.95573	-5.554458	 	20:33:45
53	11768.12	75.69975	-5.440732	 	20:33:45
54	12328.47	75.48902	-5.31086	 	20:33:45
55	12915.5	75.23966	-5.200315	 	20:33:45
56	13530.48	75.01744	-5.045175	 	20:33:46
57	14174.74	74.82817	-4.907973	 	20:33:46
58	14849.68	74.62415	-4.781761	 	20:33:46
59	15556.76	74.40786	-4.608833	 	20:33:46
60	16297.51	74.15067	-4.505558	 	20:33:46
61	17073.53	73.96061	-4.353576	 	20:33:46
62	17886.5	73.74986	-4.198463	 	20:33:46
63	18738.17	73.50369	-3.999294	 	20:33:47
64	19630.41	73.26982	-3.855076	 	20:33:47
65	20565.12	73.01359	-3.643458	 	20:33:47
66	21544.35	72.72678	-3.476022	 	20:33:47
67	22570.2	72.67986	-3.288391	 	20:33:47
68	23644.89	72.1983	-3.116742	 	20:33:47
69	24770.76	71.9588	-2.916374	 	20:33:48
70	25950.24	71.81942	-2.674717	 	20:33:48
71	27185.88	71.52029	-2.48286	 	20:33:48
72	28480.36	71.24868	-2.237841	 	20:33:48
73	29836.47	71.06803	-2.034649	 	20:33:48
74	31257.16	70.75716	-1.797873	 	20:33:48
75	32745.49	70.63861	-1.484131	 	20:33:49
76	34304.69	70.31754	-1.240004	 	20:33:49
77	35938.14	70.14494	-0.9135491	 	20:33:49
78	37649.36	69.89928	-0.5846292	 	20:33:49
79	39442.06	69.73003	-0.2520205	 	20:33:49
80	41320.12	69.31714	0.00501528	 	20:33:49
81	43287.61	60.40375	-1.214063	 	20:33:50
82	45348.79	57.53929	-1.276085	 	20:33:50
83	47508.1	55.70452	-1.123777	 	20:33:50
84	49770.23	54.61943	-0.7783968	 	20:33:50
85	52140.08	53.84304	-0.4427066	 	20:33:50
