Sample	Frequency	Magnitude	Phase	Marker	Timestamp
0	1000	5007.186	0.04850654	 	19:10:41
1	1047.616	5006.623	0.05951446	 	19:10:41
2	1097.499	5006.831	0.06449249	 	19:10:41
3	1149.757	5006.281	0.05322457	 	19:10:41
4	1204.504	5006.773	0.06171855	 	19:10:42
5	1261.857	5006.476	0.05953451	 	19:10:42
6	1321.941	5005.927	0.05759876	 	19:10:42
7	1384.886	5006.236	0.06155698	 	19:10:42
8	1450.829	5006.34	0.06718894	 	19:10:42
9	1519.911	5006.61	0.07062449	 	19:10:42
10	1592.283	5007.073	0.06783289	 	19:10:43
11	1668.101	5006.581	0.08030712	 	19:10:43
12	1747.528	5007.188	0.08116077	 	19:10:43
13	1830.738	5006.665	0.0776349	 	19:10:43
14	1917.91	5006.791	0.07974652	 	19:10:43
15	2009.233	5007.134	0.08259609	 	19:10:43
16	2104.904	5007.355	0.09227562	 	19:10:44
17	2205.131	5007.44	0.08688842	 	19:10:44
18	2310.13	5007.825	0.09212631	 	19:10:44
19	2420.128	5007.377	0.09708628	 	19:10:44
20	2535.365	5007.679	0.1037182	 	19:10:44
21	2656.088	5007.902	0.1058979	 	19:10:44
22	2782.559	5008.074	0.1029969	 	19:10:45
23	2915.053	5008.641	0.1148228	 	19:10:45
24	3053.855	5009.031	0.1115137	 	19:10:45
25	3199.267	5008.78	0.1137685	 	19:10:45
26	3351.603	5008.995	0.1238123	 	19:10:45
27	3511.192	5009.104	0.1236445	 	19:10:45
28	3678.38	5009.996	0.1276903	 	19:10:46
29	3853.529	5010.389	0.1326332	 	19:10:46
30	4037.017	5009.966	0.1332145	 	19:10:46
31	4229.243	5010.562	0.1321503	 	19:10:46
32	4430.622	5010.416	0.144383	 	19:10:46
33	4641.589	5011.276	0.1370248	 	19:10:46
34	4862.602	5011.875	0.1499776	 	19:10:47
35	5094.138	5011.94	0.1500929	 	19:10:47
36	5336.699	5012.429	0.1521038	 	19:10:47
37	5590.81	5012.428	0.1536949	 	19:10:47
38	5857.021	5012.653	0.1572013	 	19:10:47
39	6135.907	5013.236	0.1602934	 	19:10:47
40	6428.073	5013.313	0.1597098	 	19:10:47
41	6734.151	5013.695	0.1646913	 	19:10:48
42	7054.802	5014.257	0.1728937	 	19:10:48
43	7390.722	5014.607	0.1686175	 	19:10:48
44	7742.637	5014.568	0.1736932	 	19:10:48
45	8111.308	5015.169	0.1770173	 	19:10:48
46	8497.534	5015.13	0.1811405	 	19:10:48
47	8902.15	5015.569	0.1875251	 	19:10:49
48	9326.033	5016.032	0.1883136	 	19:10:49
