Sample	Frequency	Magnitude	Phase	Marker	Timestamp
0	100	1106.432	0.3049412	 	19:34:36
0.1	104.7616	1164.069	-357.2726	 	19:34:36
0.2	109.7499	1388.289	-1.958001	Peak	19:34:36
0.3	114.9757	1265.178	-7.28241	 	19:34:36
0.4	120.4504	1160.323	-17.68817	 	19:34:36
0.5	126.1857	1005.845	-7.976074	 	19:34:36
0.6	132.1941	949.3072	-1.979462	 	19:34:36
0.7	138.4886	1059.425	0.7126107	 	19:34:36
0.8	145.0829	1086.658	0.08534152	 	19:34:36
0.9	151.9911	1093.894	0.4817285	 	19:34:36
1	159.2283	1145.903	-0.428621	 	19:34:37
1.1	166.8101	1114.436	-2.207766	 	19:34:37
1.2	174.7528	1054.529	-3.232394	 	19:34:37
1.3	183.0738	1068.514	-0.140938	 	19:34:37
1.4	191.791	1085.443	0.1178665	 	19:34:37
1.5	200.9233	1089.06	0.1733353	 	19:34:37
1.6	210.4904	1108.015	-0.4721576	 	19:34:37
1.7	220.5131	1085.742	-0.849858	 	19:34:37
1.8	231.013	1074.237	-0.08653279	 	19:34:37
1.9	242.0128	1086.541	0.01435057	 	19:34:37
2	253.5365	1091.96	0.08354302	 	19:34:37
2.1	265.6088	1089.851	-0.3443931	 	19:34:37
2.2	278.256	1079.904	-0.1386029	 	19:34:38
2.3	291.5053	1086.573	0.01679742	 	19:34:38
2.4	305.3856	1091.135	0.008761025	 	19:34:38
2.5	319.9267	1085.726	-0.1493835	 	19:34:38
2.6	335.1603	1085.923	0.04140591	 	19:34:38
2.7	351.1192	1087.466	0.03651416	 	19:34:38
2.8	367.838	1085.535	-0.1613184	 	19:34:38
2.9	385.3528	1086.392	0.01352032	 	19:34:38
3	403.7017	1087.661	-0.006011137	 	19:34:38
3.1	422.9243	1086.186	-0.01437594	 	19:34:38
3.2	443.0621	1086.998	0.03756416	 	19:34:38
3.3	464.1589	1086.825	-0.02203157	 	19:34:38
3.4	486.2602	1086.536	0.01204338	 	19:34:39
3.5	509.4138	1086.941	-0.008123525	 	19:34:39
3.6	533.6699	1086.645	0.0097543	 	19:34:39
3.7	559.081	1086.751	-0.007379129	 	19:34:39
3.8	585.7021	1086.986	0.002743257	 	19:34:39
3.9	613.5907	1086.724	-0.003931188	 	19:34:39
4	642.8073	1086.612	0.007723875	 	19:34:39
4.1	673.415	1086.408	0.008286535	 	19:34:39
4.2	705.4802	1086.655	0.01188521	 	19:34:39
4.3	739.0722	1086.742	0.0106536	 	19:34:39
4.4	774.2637	1086.545	0.02380324	 	19:34:39
4.5	811.1309	1086.651	0.002260571	 	19:34:39
4.6	849.7534	1086.419	-0.008120332	 	19:34:39
4.7	890.2151	1086.589	0.004260506	 	19:34:40
4.8	932.6033	1086.828	0.01253021	 	19:34:40
4.9	977.0099	1086.758	0.00914686	 	19:34:40
5	1023.531	1086.63	0.004176719	 	19:34:40
5.1	1072.267	1086.734	0.006496292	 	19:34:40
5.2	1123.324	1086.521	0.01497542	 	19:34:40
5.3	1176.812	1086.628	0.004280154	 	19:34:40
5.4	1232.847	1086.601	0.006388441	 	19:34:40
5.5	1291.55	1086.863	-0.004986657	 	19:34:40
5.6	1353.048	1086.669	0.00562261	 	19:34:40
5.7	1417.474	1086.676	0.002101467	 	19:34:40
5.8	1484.968	1086.6	0.000134022	 	19:34:41
5.9	1555.676	1086.811	-0.006500063	 	19:34:41
5.99999999999999	1629.751	1086.676	-0.005626155	 	19:34:41
6.09999999999999	1707.353	1086.741	-0.00792871	 	19:34:41
6.19999999999999	1788.65	1086.632	-0.008115025	 	19:34:41
6.29999999999999	1873.817	1086.781	-0.009949991	 	19:34:41
6.39999999999999	1963.041	1086.661	0.002190253	 	19:34:41
6.49999999999999	2056.512	1086.741	-0.01370217	 	19:34:41
6.59999999999999	2154.435	1086.731	-0.009388891	 	19:34:41
6.69999999999999	2257.02	1086.785	-0.01627751	 	19:34:41
6.79999999999999	2364.49	1086.729	-0.0007959906	 	19:34:41
6.89999999999999	2477.076	1086.72	-0.02023352	 	19:34:41
6.99999999999999	2595.024	1086.6	-0.01031146	 	19:34:41
7.09999999999999	2718.588	1086.64	-0.01647607	 	19:34:42
7.19999999999999	2848.036	1086.598	-0.01208483	 	19:34:42
7.29999999999999	2983.647	1086.685	-0.01967378	 	19:34:42
7.39999999999999	3125.716	1086.686	-0.01957199	 	19:34:42
7.49999999999999	3274.549	1086.665	-0.02033547	 	19:34:42
7.59999999999999	3430.469	1086.639	-0.02727312	 	19:34:42
7.69999999999999	3593.814	1086.589	-0.02318601	 	19:34:42
7.79999999999999	3764.936	1086.639	-0.02528465	 	19:34:42
7.89999999999999	3944.206	1086.707	-0.02886596	 	19:34:42
7.99999999999999	4132.012	1086.581	-0.03576928	 	19:34:42
8.09999999999999	4328.761	1086.687	-0.03747533	 	19:34:42
8.19999999999999	4534.878	1086.715	-0.03903486	 	19:34:42
8.29999999999999	4750.81	1086.687	-0.04236238	 	19:34:42
8.39999999999999	4977.023	1086.766	-0.04150749	 	19:34:43
8.49999999999999	5214.008	1086.737	-0.04950027	 	19:34:43
8.59999999999999	5462.277	1086.647	-0.0507068	 	19:34:43
8.69999999999999	5722.368	1086.751	-0.06222761	 	19:34:43
8.79999999999998	5994.842	1086.711	-0.05807659	 	19:34:43
8.89999999999998	6280.292	1086.741	-0.06614766	 	19:34:43
8.99999999999998	6579.332	1086.736	-0.06352731	 	19:34:43
9.09999999999998	6892.612	1086.719	-0.06975329	 	19:34:43
9.19999999999998	7220.809	1086.773	-0.07396225	 	19:34:43
9.29999999999998	7564.633	1086.821	-0.08574728	 	19:34:43
9.39999999999998	7924.829	1086.734	-0.0809288	 	19:34:43
9.49999999999998	8302.176	1086.661	-0.08275772	 	19:34:44
9.59999999999998	8697.49	1086.711	-0.09376716	 	19:34:44
9.69999999999998	9111.628	1086.806	-0.1072173	 	19:34:44
9.79999999999998	9545.484	1086.842	-0.1064832	 	19:34:44
9.89999999999998	10000	1086.779	-0.1160248	 	19:34:44
9.99999999999998	100	1092.131	0.983903	 	19:34:44
10.1	104.7616	1144.582	-357.9012	 	19:34:44
10.2	109.7499	1386.12	-1.820482	Peak	19:34:44
10.3	114.9757	1220.558	-5.434753	Peak	19:34:44
10.4	120.4504	1160.956	-17.84448	Peak	19:34:44
10.5	126.1857	1023.692	-5.939789	 	19:34:44
10.6	132.1941	949.3072	-1.979462	 	19:34:44
10.7	138.4886	1065.354	0.4837857	 	19:34:44
10.8	145.0829	1086.656	0.0853142	 	19:34:45
10.9	151.9911	1092.621	0.33003	 	19:34:45
11	159.2283	1144.539	-0.3654281	 	19:34:45
11.1	166.8101	1110.603	-1.692128	 	19:34:45
11.2	174.7528	1054.484	-3.174447	 	19:34:45
11.3	183.0738	1072.516	-0.1578223	 	19:34:45
11.4	191.791	1084.363	0.1664701	 	19:34:45
11.5	200.9233	1088.577	0.1434328	 	19:34:45
11.6	210.4904	1108.946	-0.4670076	 	19:34:45
11.7	220.5131	1085.472	-0.699266	 	19:34:45
11.8	231.013	1074.324	-0.1307651	 	19:34:45
11.9	242.0128	1086.496	0.03719072	 	19:34:45
12	253.5365	1091.958	0.08372061	 	19:34:46
12.1	265.6088	1089.322	-0.2842602	 	19:34:46
12.2	278.256	1079.907	-0.1388215	 	19:34:46
12.3	291.5053	1086.573	0.01679742	 	19:34:46
12.4	305.3856	1090.499	0.00459461	 	19:34:46
12.5	319.9267	1086.709	-0.1422801	 	19:34:46
12.6	335.1603	1086.498	0.04572259	 	19:34:46
12.7	351.1192	1087.511	0.02079107	 	19:34:46
