N	Lable	Freq	Mag	Phase	Sample
1	Peak	109.7499	1388.289	-1.958001	0.2
2	Peak	109.7499	1386.12	-1.820482	10.2
3	Peak	114.9757	1220.558	-5.434753	10.3
4	Peak	120.4504	1160.956	-17.84448	10.4
5	Peak	104.7616	1149.25	-357.8534	20.1
6	Peak	109.7499	1388.112	-1.8257	20.2
7	Peak	114.9757	1234.351	-5.545288	20.3
8	Peak	120.4504	1160.76	-17.92899	20.4
9	Peak	104.7616	1151.636	-357.8048	30.1000000000002
10	Peak	109.7499	1386.12	-1.820482	30.2000000000002
11	Peak	114.9757	1239.074	-5.915192	30.3000000000002
12	Peak	120.4504	1160.638	-17.76636	30.4000000000002
13	Peak	104.7616	1152.86	-357.8108	40.1000000000003
14	Peak	109.7499	1387.987	-1.907936	40.2000000000003
15	Peak	114.9757	1240.958	-6.148224	40.3000000000003
16	Peak	120.4504	1159.245	-17.83484	40.4000000000003
17	Peak	159.2283	1147.157	-0.4222826	41.0000000000003
18	Peak	104.7616	1153.001	-357.6393	50.1000000000004
19	Peak	109.7499	1386.12	-1.820482	50.2000000000004
20	Peak	114.9757	1248.14	-5.927765	50.3000000000004
21	Peak	120.4504	1162.539	-17.82874	50.4000000000004
22	Peak	104.7616	1154.147	-357.6386	60.1000000000006
23	Peak	109.7499	1386.12	-1.820482	60.2000000000006
24	Peak	114.9757	1247.112	-6.063721	60.3000000000006
25	Peak	120.4504	1160.638	-17.76636	60.4000000000006
26	Peak	159.2283	1147.099	-0.3600049	61.0000000000006
27	Peak	104.7616	1155.203	-357.6459	70.1000000000003
28	Peak	109.7499	1388.112	-1.8257	70.2000000000003
29	Peak	114.9757	1243.992	-6.250366	70.3000000000003
30	Peak	120.4504	1160.956	-17.84448	70.4000000000003
31	Peak	104.7616	1154.125	-357.6443	80.0999999999997
32	Peak	109.7499	1388.112	-1.8257	80.1999999999997
33	Peak	114.9757	1247.004	-6.070251	80.2999999999997
34	Peak	120.4504	1160.956	-17.84448	80.3999999999997
35	Peak	104.7616	1154.134	-357.5817	90.0999999999992
36	Peak	109.7499	1386.12	-1.820482	90.1999999999992
37	Peak	114.9757	1247.063	-6.114075	90.2999999999991
38	Peak	120.4504	1160.956	-17.84448	90.3999999999991
39	Peak	159.2283	1147.157	-0.4222826	90.9999999999991
40	Peak	104.7616	1155.272	-357.6436	100.099999999999
41	Peak	109.7499	1385.875	-1.925216	100.199999999999
