Sample	Frequency	MeanMagnitude	StdMagnitude	MeanPhase	StdPhase
0	1000	93.96727	1.675855	-19.23806	0.4733979
1	1047.616	93.40438	2.249872	-18.63699	0.6852454
2	1097.499	92.66074	2.059186	-18.13636	0.6733229
3	1149.757	91.86773	1.845305	-17.73064	0.5392541
4	1204.504	91.07909	1.628047	-17.28836	0.4860192
5	1261.857	90.40569	1.359987	-16.86094	0.436588
6	1321.941	89.71632	1.310863	-16.4392	0.3554188
7	1384.886	89.13931	1.187731	-16.05998	0.4094409
8	1450.829	88.46277	1.049741	-15.62672	0.338933
9	1519.911	87.94112	0.9833123	-15.26386	0.3133425
10	1592.283	87.41522	0.94551	-14.9195	0.3098849
11	1668.101	86.93128	0.8906478	-14.50354	0.3212842
12	1747.528	86.3965	0.8426297	-14.17004	0.2980415
13	1830.738	85.95692	0.803962	-13.76605	0.2828506
14	1917.91	85.46737	0.7578824	-13.41923	0.2679304
15	2009.233	84.97784	0.7519572	-13.05464	0.2712064
16	2104.904	84.5771	0.7492279	-12.71993	0.3122694
17	2205.131	84.17712	0.6543707	-12.37502	0.2823645
18	2310.13	83.86631	0.6966127	-12.04852	0.2418852
19	2420.128	83.39412	0.673169	-11.76704	0.264055
20	2535.365	83.01162	0.6558921	-11.44417	0.2251135
21	2656.088	82.71076	0.630255	-11.1235	0.2363333
22	2782.559	82.37315	0.6250862	-10.87778	0.2234352
23	2915.053	82.04745	0.5935009	-10.58129	0.2048011
24	3053.855	81.7751	0.59413	-10.27983	0.1945657
25	3199.267	81.18274	1.32008	-9.988418	0.2481267
26	3351.603	79.31821	4.233569	-9.581655	0.7947159
27	3511.192	78.37018	5.571424	-9.230694	1.14535
28	3678.38	78.97056	2.92768	-9.025689	1.039029
29	3853.529	79.16933	1.977863	-8.941278	0.6858153
30	4037.017	79.01366	1.993247	-8.724694	0.6420825
31	4229.243	78.7604	1.930592	-8.517046	0.6016127
32	4430.622	78.63382	1.770188	-8.318	0.5506059
33	4641.589	78.80963	0.8225275	-8.086987	0.4789225
34	4862.602	78.86771	0.9278331	-7.918547	0.4248825
35	5094.138	78.67017	0.8610656	-7.701264	0.3881225
36	5336.699	78.51453	0.7239988	-7.507867	0.3944595
37	5590.81	79.12216	1.816934	-7.329204	0.3918055
38	5857.021	78.89156	1.838122	-7.225075	0.2821678
39	6135.907	78.63549	1.760046	-7.120138	0.2288161
40	6428.073	78.34927	1.482703	-6.973513	0.1824285
41	6734.151	78.65251	2.98712	-6.78065	0.2493337
42	7054.802	77.44477	0.5356979	-6.694056	0.1380224
43	7390.722	77.18497	0.5302716	-6.531856	0.1435098
44	7742.637	76.96212	0.5551607	-6.440627	0.1313609
45	8111.308	76.75282	0.5363351	-6.270207	0.1401133
46	8497.534	76.4227	0.6319688	-6.166522	0.05364711
47	8902.15	76.05967	0.8354057	-6.054737	0.04912542
48	9326.033	75.41978	1.931581	-5.955333	0.08557358
49	9770.1	75.12904	2.15326	-5.841815	0.08016223
50	10235.31	75.00085	1.905113	-5.732421	0.075735
51	10722.67	75.27447	0.684759	-5.563554	0.08772388
52	11233.24	75.06586	0.6076359	-5.443412	0.07504154
53	11768.12	74.83464	0.6000199	-5.329775	0.0705143
54	12328.47	74.6544	0.5636519	-5.190378	0.08427269
55	12915.5	74.49609	0.4840234	-5.061347	0.09279905
56	13530.48	74.31715	0.5042821	-4.935485	0.09995231
57	14174.74	74.07013	0.5380983	-4.804395	0.09115246
58	14849.68	73.27245	1.595081	-4.773358	0.1537872
59	15556.76	73.06709	1.473624	-4.651235	0.2274735
60	16297.51	73.75597	1.351677	-4.428944	0.04286818
61	17073.53	73.29425	0.7710426	-4.29048	0.04015066
62	17886.5	73.00681	0.6995435	-4.140877	0.0443919
63	18738.17	73.33417	2.137141	-4.010386	0.09417038
64	19630.41	72.80739	1.389621	-3.808322	0.04409335
65	20565.12	72.19012	0.6034334	-3.626283	0.04423278
66	21544.35	72.22604	1.164722	-3.459532	0.04141308
67	22570.2	71.47514	0.73734	-3.280555	0.06130271
68	23644.89	71.20954	0.6704537	-3.100382	0.07644385
69	24770.76	70.98176	0.6506391	-2.878726	0.07747111
70	25950.24	70.75282	0.6803051	-2.679223	0.08297374
71	27185.88	70.5344	0.6567678	-2.430139	0.08720758
72	28480.36	70.31102	0.6462877	-2.216867	0.07913159
73	29836.47	70.10899	0.6478034	-1.984387	0.09367426
74	31257.16	69.87991	0.6323043	-1.724349	0.09947055
75	32745.49	69.68383	0.6519762	-1.449069	0.1014419
76	34304.69	69.44941	0.6279815	-1.168047	0.1103795
77	35938.14	69.20432	0.6520278	-0.849409	0.1087218
78	37649.36	68.99613	0.6426418	-0.5452656	0.1112512
79	39442.06	68.79198	0.6476971	-0.1995066	0.1172648
80	41320.12	68.5427	0.6093913	0.1345157	0.1320559
81	43287.61	67.2703	2.826133	0.3121147	0.626772
82	45348.79	66.76759	3.768344	0.6494966	0.7876559
83	47508.1	66.38186	4.348608	1.015048	0.8716673
