Sample	Frequency	MeanMagnitude	StdMagnitude	MeanPhase	StdPhase
0	1000	5006.094	0.6208698	0.04936988	0.001815789
1	1047.616	5006.873	0.214225	0.05661026	0.001883836
2	1097.499	5006.315	0.3093125	0.05823876	0.004721815
3	1149.757	5006.002	0.1823698	0.05698664	0.002461894
4	1204.504	5006.688	0.2456878	0.06281684	0.003141004
5	1261.857	5006.116	0.2089781	0.06388672	0.002532732
6	1321.941	5005.9	0.1121121	0.05729277	0.001288234
7	1384.886	5006.649	0.4243056	0.06664138	0.004706603
8	1450.829	5005.982	0.3463455	0.06866427	0.003027353
9	1519.911	5006.621	0.2906367	0.07051247	0.002828893
10	1592.283	5006.779	0.3153611	0.06851864	0.002504052
11	1668.101	5006.766	0.1234241	0.07677181	0.002059806
12	1747.528	5006.792	0.2266735	0.08345571	0.001694988
13	1830.738	5006.723	0.2198169	0.08443504	0.004097788
14	1917.91	5006.73	0.0817995	0.07932578	0.00153831
15	2009.233	5006.945	0.243309	0.08534729	0.003242976
16	2104.904	5007.31	0.2250696	0.09176745	0.001529424
17	2205.131	5007.521	0.2482788	0.08841018	0.004110986
18	2310.13	5007.354	0.315967	0.09677358	0.003870029
19	2420.128	5007.653	0.232089	0.09851789	0.002649998
20	2535.365	5007.658	0.07766512	0.1031131	0.001158294
21	2656.088	5007.845	0.3126564	0.1056534	0.002162425
22	2782.559	5008.275	0.1917107	0.1058533	0.002615882
23	2915.053	5008.578	0.143239	0.1135251	0.002258854
24	3053.855	5008.607	0.3460256	0.1148523	0.004068292
25	3199.267	5008.78	0.07026204	0.1137699	0.001320915
26	3351.603	5008.973	0.06609406	0.1226116	0.002142396
27	3511.192	5009.53	0.360583	0.1270214	0.003046658
28	3678.38	5009.968	0.08599574	0.1275551	0.002103303
29	3853.529	5010.308	0.1120308	0.134924	0.002394118
30	4037.017	5010.169	0.2399289	0.1351516	0.003107819
31	4229.243	5010.581	0.01372843	0.1356323	0.002561541
32	4430.622	5010.616	0.348983	0.1407193	0.003112909
33	4641.589	5011.277	0.001006618	0.1398921	0.00332504
34	4862.602	5011.775	0.05564854	0.1490773	0.000806287
35	5094.138	5011.915	0.0603862	0.1500765	0.0009951665
36	5336.699	5012.431	0.004809013	0.1518155	0.0006445089
37	5590.81	5012.388	0.0314449	0.1576414	0.003050101
38	5857.021	5012.693	0.2385421	0.157271	0.001010295
39	6135.907	5013.236	0.01553701	0.1602934	0.0009949133
