Sample	Magnitude	Phase	Marker
0	161.929001	-22.129938	 
0.0002	161.372238	-7.47733	 
0.0004	161.245148	7.125016	 
0.0006	161.554947	21.801409	 
0.0008	161.604462	36.444443	 
0.001	161.335052	50.785557	 
0.0012	161.548752	65.497337	 
0.0014	161.446579	80.012581	 
0.0016	161.523987	94.616356	 
0.0018	160.975159	109.222862	 
0.002	161.418716	123.886971	 
0.0022	161.523987	138.513748	 
0.0024	161.446579	153.117523	 
0.0026	161.616837	167.855728	 
0.0028	161.111755	-177.865753	 
0.003	161.969131	-163.131332	 
0.0032	161.554947	-148.67131	 
0.0034	161.245148	-133.994904	 
0.0036	160.751358	-119.435417	 
0.0038	161.297867	-104.725487	 
0.004	162.003082	-90.353676	 
0.0042	161.04657	-75.618607	 
0.0044	161.136581	-61.049011	 
0.0046	161.276154	-46.507439	 
0.0048	161.226547	-31.817036	 
0.005	161.307159	-17.311647	 
0.0052	161.198639	-2.844656	 
0.0054	161.409424	11.797248	 
0.0056	161.891937	26.406776	 
0.0058	161.616837	40.985825	 
0.006	161.1521	55.619656	 
0.0062	161.644669	70.107742	 
0.0064	161.69725	84.677246	 
0.0066	161.276154	99.637543	 
0.0068	161.136581	114.179108	 
0.007	161.483749	128.71521	 
0.0072	161.400131	143.059097	 
0.0074	161.003113	157.736008	 
0.00759999999999999	161.505417	172.170929	 
0.00779999999999999	161.245148	-172.874985	 
0.00799999999999999	161.186234	-158.528625	 
0.0082	161.012421	-143.841812	 
0.0084	161.335052	-129.214447	 
0.0086	161.966049	-114.824562	 
0.0088	161.446579	-99.987427	 
0.009	161.523987	-85.383652	 
0.0092	161.919739	-70.893646	 
0.0094	160.863297	-56.408718	 
0.0096	160.776245	-41.722324	 
0.0098	161.012421	-27.360775	 
0.01	161.830154	-12.490407	 
0.0102	161.111755	2.134259	 
0.0104	160.723358	16.630955	 
0.0106	161.037262	31.024775	 
0.0108	161.941345	45.750561	 
0.011	161.245148	60.255123	 
0.0112	161.554947	74.931519	 
0.0114	161.003113	89.644135	 
0.0116	160.801117	104.036247	 
0.0118	160.654907	118.638924	 
0.012	161.276154	133.492569	 
0.0122	161.755981	147.881973	 
0.0124	161.307159	162.688354	 
0.0126	161.198639	177.15535	 
0.0128	161.409424	-168.202759	 
0.013	161.449677	-153.911072	 
0.0132	161.616837	-139.014175	 
0.0134	161.718887	-124.672752	 
0.0136	161.644669	-109.892258	 
0.0138	161.69725	-95.322754	 
0.014	161.111755	-80.713074	 
0.0142	161.644669	-66.289436	 
0.0144	161.644669	-51.783051	 
0.0146	161.400131	-36.940899	 
0.0148	161.384628	-22.592554	 
0.015	161.505417	-7.829076	 
0.0152	161.124176	6.77216	 
0.0154	221.186234	21.471371	Peak
0.0156	161.012421	36.158184	 
0.0158	161.969131	50.511478	 
0.016	161.05899	65.026093	 
0.0162	161.623016	79.663445	 
0.0164	161.446579	94.262611	 
0.0166	161.595169	108.771324	 
0.0168	161.69725	123.395233	 
0.017	161.443481	138.012787	 
0.0172	161.012421	152.639221	 
0.0174	161.074524	167.085373	 
0.0176	161.077621	-178.221207	 
0.0178	161.681793	-163.470474	 
0.018	161.037262	-148.97522	 
0.0182	161.226547	-134.497421	 
0.0184	161.245148	-119.744881	 
0.0186	161.554947	-105.068489	 
0.0188	161.012421	-90.711716	 
0.019	161.771439	-76.04966	 
